Cod_setor,Situacao_setor,V002,V004,Target_2_10_salarios_per_capita
355030807000062,1,2221912,0,183
355030807000063,1,785359,0,134
355030807000064,1,772116,0,139
355030807000065,1,759849,0,118
355030807000066,1,1241398,0,182
355030807000067,1,665977,9000,74
355030807000068,1,1192641,0,214
355030807000069,1,787540,0,145
355030807000070,1,955788,3700,134
355030807000071,1,1012850,0,163
355030807000072,1,647497,0,112
355030807000073,1,353344,0,61
355030807000074,1,1570887,0,170
355030807000075,1,1674200,0,202
355030807000076,1,1280532,0,145
355030807000077,1,1025776,0,118
355030807000078,1,2226437,0,210
355030807000079,1,3141867,0,240
355030807000080,1,1093616,0,169
355030807000081,1,0,0,0
355030807000082,1,1235176,0,123
355030807000083,1,635299,0,121
355030807000084,1,593060,0,106
355030807000085,1,686570,0,86
355030807000086,1,1297334,0,200
355030807000087,1,1068239,0,153
355030807000088,1,544600,0,106
355030807000089,1,428036,1200,62
355030807000090,1,718675,0,113
355030807000091,1,844665,0,151
355030807000092,1,623562,0,100
355030807000093,1,611679,0,107
355030807000094,1,1440657,0,216
355030807000095,1,683246,19045,116
355030807000096,1,255508,0,35
355030807000097,1,266496,0,16
355030807000098,1,2347208,0,187
355030807000099,1,6026762,0,493
355030807000100,1,551352,0,107
355030807000101,1,1168360,0,195
355030807000102,1,661421,0,166
355030807000103,1,987986,1100,183
355030807000104,1,2466550,0,377
355030807000105,1,534923,0,49
355030807000106,1,524516,0,38
355030807000107,1,400844,0,53
355030807000108,1,512764,0,41
355030807000109,1,482895,0,92
355030807000110,1,528673,0,109
355030807000111,1,1819019,0,283
355030807000112,1,469017,0,47
355030807000113,1,507368,0,93
355030807000114,1,1038266,0,167
355030807000115,1,692183,0,104
355030807000116,1,307046,0,52
355030807000117,1,391095,0,64
355030807000118,1,823730,0,141
355030807000119,1,1251999,0,243
355030807000120,1,1471438,0,211
355030807000121,1,2658332,0,211
355030807000123,1,2086036,0,266
355030807000124,1,1384124,0,217
355030807000125,1,1066675,0,157
355030807000126,1,753031,0,102
355030807000127,1,1231245,0,164
355030807000128,1,1502194,0,244
355030807000129,1,1629719,0,253
355030807000130,1,1742516,0,189
355030807000131,1,1048302,0,173
355030807000132,1,895510,0,132
355030807000133,1,382337,0,73
355030807000134,1,695477,0,124
355030807000135,1,2325369,0,275
355030807000136,1,554661,0,121
355030807000137,1,920269,0,140
355030807000138,1,1043859,0,140
355030807000139,1,520272,0,98
355030807000140,1,1018330,0,125
355030807000141,1,239022,0,35
355030807000142,1,703103,0,77
355030807000143,1,372739,0,60
355030808000001,1,1546501,0,133
355030808000002,1,253748,1200,29
355030808000003,1,1436884,0,168
355030808000004,1,2122140,0,242
355030808000005,1,782083,0,116
355030808000006,1,796235,0,94
355030808000007,1,576313,0,128
355030808000008,1,597815,4800,73
355030808000009,1,367442,0,11
355030808000010,1,684232,0,83
355030808000011,1,1623072,0,186
355030808000012,1,1130233,2500,152
355030808000013,1,493433,0,71
355030808000014,1,621217,0,73
355030808000015,1,395526,2251,33
355030808000016,1,533684,0,62
355030808000017,1,869576,0,137
355030808000018,1,1001524,0,123
355030808000019,1,475410,0,64
355030808000020,1,1740388,0,203
355030808000021,1,787658,0,96
355030808000022,1,554575,0,41
355030808000023,1,881163,2000,116
355030808000024,1,577596,0,82
355030808000025,1,538869,1940,73
355030808000026,1,658648,0,58
355030808000027,1,488877,0,43
355030808000028,1,395469,0,35
355030808000029,1,841607,0,124
355030808000030,1,761874,0,83
355030808000031,1,922854,7360,93
355030808000032,1,501150,0,58
355030808000033,1,1289739,0,172
355030808000034,1,1516874,0,172
355030808000035,1,733916,0,83
355030808000036,1,558422,0,74
355030808000037,1,1075455,1200,161
355030808000038,1,438300,0,64
355030808000039,1,661610,0,97
355030808000040,1,724849,13980,75
355030808000041,1,195674,0,20
355030808000042,1,573624,0,45
355030808000043,1,244105,0,27
355030808000044,1,738891,6010,47
355030808000045,1,706272,0,96
355030808000046,1,591737,0,67
355030808000047,1,592816,0,64
355030808000048,1,651157,0,73
355030808000049,1,1211439,0,152
355030808000050,1,660027,0,67
355030808000051,1,304532,0,27
355030808000052,1,805348,0,90
355030808000053,1,334251,0,41
355030808000054,1,292834,0,15
355030808000055,1,556608,0,58
355030808000056,1,213704,0,19
355030808000057,1,256510,0,23
355030808000058,1,485664,0,61
355030808000059,1,224220,0,11
355030808000060,1,368600,0,22
355030808000061,1,1259480,0,164
355030808000062,1,865262,0,118
355030808000063,1,1061956,0,153
355030808000064,1,1313073,0,185
355030808000065,1,300700,0,2
355030808000066,1,811048,0,97
355030808000067,1,382781,0,35
355030808000068,1,1149671,0,106
355030808000069,1,940099,0,141
355030808000070,1,720251,0,90
355030808000071,1,348861,0,51
355030808000072,1,430330,0,70
355030808000073,1,479161,3500,81
355030808000075,1,1923595,0,158
355030808000076,1,885656,0,139
355030808000077,1,1280060,0,200
355030808000078,1,650777,0,118
355030808000079,1,1008672,0,164
355030809000001,1,508300,0,66
355030809000002,1,728837,0,96
355030809000003,1,1439661,0,223
355030809000004,1,936163,0,113
355030809000005,1,812455,0,111
355030809000006,1,772282,0,100
355030809000007,1,478775,0,62
355030809000008,1,533964,0,73
355030809000009,1,1155144,1000,157
355030809000010,1,553847,0,47
355030809000011,1,924970,3050,108
355030809000012,1,839192,0,133
355030809000013,1,828345,0,112
355030809000014,1,916301,0,140
355030809000015,1,564629,0,66
355030809000016,1,519768,0,64
355030809000017,1,543815,0,72
355030809000018,1,900406,6080,112
355030809000019,1,636932,2700,75
355030809000020,1,440700,11300,48
355030809000021,1,577832,2499,12
355030809000022,1,607213,2050,61
355030809000023,1,916407,0,124
355030809000024,1,404380,0,31
355030809000025,1,390538,0,40
355030809000026,1,633345,0,87
355030809000027,1,593248,800,100
355030809000028,1,62910,0,9
355030809000029,1,411336,0,46
355030809000030,1,595187,4030,71
355030809000031,1,573500,0,82
